Exercise,Ax_Min,Ax_Max,Ax_Mean,Ax_std,Ax_med,Ay_Min,Ay_Max,Ay_Mean,Ay_std,Ay_med,Az_Min,Az_Max,Az_Mean,Az_std,Az_med,Gx_Min,Gx_Max,Gx_Mean,Gx_std,Gx_med,Gy_Min,Gy_Max,Gy_Mean,Gy_std,Gy_med,Gz_Min,Gz_Max,Gz_Mean,Gz_std,Gz_med,Pitch_Min,Pitch_Max,Pitch_Mean,Pitch_std,Pitch_med,Roll_Min,Roll_Max,Roll_Mean,Roll_std,Roll_med
10,-0.735,0.923,0.232846154,0.656447938,0.458,0.228,0.596,0.371923077,0.09977211,0.458,-0.948,-0.322,-0.618461538,0.188414061,-0.6155,-28.687,26.733,1.579846154,14.51613599,3.784,-120.667,111.572,2.061115385,62.3922465,0.122,-81.421,54.443,0.119769231,33.06005988,0.0915,-47.749,61.338,14.39361538,41.36137235,25.151,16.06,29.612,21.92473077,4.136632936,21.2925
10,-0.838,0.957,0.31572973,0.654853319,0.695,0.12,0.525,0.32527027,0.091183773,0.695,-1.014,-0.266,-0.591081081,0.228020635,-0.569,-27.039,58.35,-1.189324324,20.31501256,-6.958,-137.268,127.869,17.71664865,73.28809461,4.7,-80.933,57.068,5.903918919,34.29296066,3.052,-57.711,64.847,22.99632432,40.13428013,39.47,14.111,25.931,20.45456757,3.241619293,19.97
10,-0.94,0.487,-0.256677966,0.546611204,-0.315,-0.062,0.353,0.145932203,0.133549405,-0.315,-1.113,-0.397,-0.794457627,0.232523438,-0.881,-17.944,23.499,1.998728814,8.483237975,2.502,-60.486,91.797,0.854508475,42.55362068,-3.845,-22.095,30.396,-0.692033898,16.01057014,-1.709,-65.555,27.415,-18.79394915,34.87158582,-16.924,-2.678,18.251,7.988220339,7.094324026,9.197
10,-0.874,0.475,-0.210866667,0.514276799,-0.1865,0.007,0.359,0.203,0.117944974,-0.1865,-1.068,-0.534,-0.82465,0.179221653,-0.888,-20.508,16.296,1.486216667,6.993742831,2.197,-62.256,74.219,0.8291,37.78632838,-5.31,-27.283,27.222,-0.353,15.74029317,-1.77,-58.041,26.878,-14.72531667,32.12926904,-10.799,1.054,19.149,11.26315,6.32981298,12.8125
10,-0.867,0.452,-0.284607143,0.495555397,-0.3775,0.025,0.342,0.196660714,0.106919218,-0.3775,-1.074,-0.535,-0.817446429,0.177978847,-0.8935,-24.475,11.353,0.163535714,7.032780919,0.5795,-61.401,71.35,-0.022803571,38.26789531,-5.6455,-24.475,27.161,0.470839286,15.07378729,-1.6785,-57.061,24.763,-19.06375,30.80665831,-21.352,2.307,18.531,11.02478571,5.681548604,12.684
10,-0.803,0.439,-0.231811321,0.488612166,-0.304,0.036,0.323,0.182056604,0.090447906,-0.304,-1.083,-0.61,-0.847226415,0.155349314,-0.897,-31.006,18.921,0.352396226,7.879378879,0.366,-67.444,82.153,-0.192264151,39.96423769,-2.808,-23.987,30.579,0.795792453,14.22753098,0.244,-50.952,24.68,-15.58,29.63473761,-18.725,3.215,16.178,10.10654717,4.670330867,11.596
10,-0.787,0.451,-0.199945455,0.473810887,-0.165,0.042,0.302,0.173072727,0.085167559,-0.165,-1.086,-0.637,-0.862563636,0.143996755,-0.907,-28.931,13.123,0.814563636,7.002181585,1.77,-62.683,82.153,-0.321872727,37.58427893,-5.005,-22.949,29.297,-0.027709091,13.65116401,0.122,-49.652,24.977,-13.32178182,28.70762739,-11.727,2.797,15.472,9.7068,4.48656377,11.582
10,-0.811,0.458,-0.189983333,0.4925658,-0.19,0.035,0.301,0.17955,0.088250304,-0.19,-1.066,-0.594,-0.857866667,0.156397307,-0.9065,-12.756,17.456,1.1678,6.409256436,2.136,-63.049,82.458,0.080366667,36.79956346,-2.655,-21.606,28.748,0.47405,13.18987438,0.183,-50.918,25.63,-13.02416667,29.93121918,-9.9985,2.809,15.171,9.961283333,4.577184836,11.8095
10,-0.816,0.428,-0.250701754,0.475023757,-0.302,0.011,0.341,0.164298246,0.100306488,-0.302,-1.06,-0.623,-0.855210526,0.158604488,-0.91,-20.508,14.893,-0.168070175,6.3927894,0.183,-53.528,78.735,0.445421053,37.07166229,-2.686,-17.273,26.245,0.246245614,12.05667063,-1.038,-52.185,24.027,-16.53,28.94535625,-18.412,1.14,15.816,9.109385965,5.234973375,10.845
10,-0.852,0.454,-0.216359375,0.517805913,-0.257,-0.002,0.288,0.132859375,0.087866397,-0.257,-1.071,-0.567,-0.843859375,0.169742556,-0.9215,-7.263,13.489,1.31796875,5.122011516,1.5565,-61.218,75.562,-0.35575,36.2648122,-2.38,-18.982,23.926,0.447328125,11.25987529,-0.122,-54.652,25.779,-14.80596875,31.69689924,-13.8735,0.781,13.998,7.3565,4.550893553,8.746
10,-0.88,0.447,-0.25933871,0.521447322,-0.34,-0.04,0.281,0.104322581,0.096995483,-0.34,-1.109,-0.511,-0.826403226,0.196950977,-0.913,-28.381,12.146,0.656629032,7.29529019,1.587,-59.082,89.6,0.518758065,38.64335599,-1.0685,-16.724,23.865,0.470564516,11.26683505,0.3355,-57.842,25.438,-17.83041935,32.566224,-18.8605,-1.759,12.18,5.775741935,5.07116404,7.1875
10,-0.863,0.427,-0.260920635,0.511045585,-0.332,-0.004,0.284,0.122174603,0.087735221,-0.332,-1.074,-0.541,-0.83468254,0.189464255,-0.915,-9.521,14.282,0.94947619,5.454791187,1.099,-64.514,81.116,0.129888889,37.26926406,-1.77,-18.066,25.208,1.172269841,11.28921753,0.549,-56.059,23.991,-17.70730159,31.65949141,-17.664,-0.072,14.073,6.694507937,4.57011558,7.798
11,-1.063,1.01,0.12285,0.799485365,0.28,-0.419,0.481,0.0232,0.230076487,0.28,-1.269,0.286,-0.519925,0.35077441,-0.457,-48.95,96.191,5.307,25.40961799,6.1035,-169.373,152.893,-1.603725,68.69435941,5.707,-46.204,63.049,5.021675,19.08509221,2.7165,-83.211,71.554,4.5499,57.82533586,20.6795,-11.052,16.975,1.620475,9.008916008,0.3615
11,-1.036,1,0.007394737,0.815758958,-0.0155,-0.59,0.613,-0.015,0.259344288,-0.0155,-1.196,0.146,-0.467078947,0.384323581,-0.3795,-60.73,90.027,-2.277552632,25.12425523,-0.7935,-139.16,138.611,-0.045026316,72.81132261,-4.12,-46.387,50.598,4.792815789,19.75026577,1.7395,-89.825,74.462,-4.215631579,61.40138285,2.861,-11.865,15.042,-0.315657895,7.366327862,-2.558
